Ad group,Keyword,Currency,Avg. Monthly Searches (exact match only),Competition,Suggested bid,Impr. share,In account?,In plan?,Extracted From
Dish Tv,dish tv frequency,INR,10,0.09,,0,N,N,
Dish Tv,dish tv antenna,INR,10,,,,N,N,
Dish Tv,dish tv dealer,INR,10,0.53,,0,N,N,
Dish Tv,rate of dish tv,INR,10,1,,0,N,N,
Dish Tv,dish tv rate,INR,10,,,,N,N,
Dish Tv,dish tv jobs in noida,INR,10,,,,N,N,
Dish Tv,cheap dish tv,INR,10,,,,N,N,
Dish Tv,cheapest dish tv,INR,10,0.82,,0,N,N,
Dish Tv,dish tv i,INR,10,,,,N,N,
Dish Tv,dish tv customer,INR,10,,,,N,N,
Dish Tv,sun tv dish,INR,10,,,,N,N,
Dish Tv,jobs in dish tv,INR,10,0.45,,0,N,N,
Dish Tv,indian dish tv,INR,10,,,,N,N,
Dish Tv,dish tv delhi,INR,10,,,,N,N,
Dish Tv,tatasky dish tv,INR,10,,,,N,N,
Dish Tv,dish tv charges,INR,10,,,,N,N,
Dish Tv,dish tv quote,INR,10,,,,N,N,
Recharge Dish,dish tv recharge,INR,1600,0.32,6.77,0,N,N,
Recharge Dish,recharge dish tv,INR,40,0.51,6.27,0,N,N,
Recharge Dish,recharge of dish tv,INR,10,0.55,,0,N,N,
Recharge Dish,www.dish tv recharge,INR,10,0.94,10.95,0,N,N,
Recharge Dish,dish tv recharge packs,INR,10,0.25,,0,N,N,
Recharge Dish,how to recharge dish tv,INR,10,0.71,5.1,0,N,N,
Recharge Dish,dish tv recharge by credit card,INR,10,,,,N,N,
Recharge Dish,recharge for dish tv,INR,10,,,,N,N,
Recharge Dish,all dish tv recharge,INR,10,1,,0,N,N,
Recharge Dish,dish tv tv recharge,INR,0,,,,N,N,
Recharge Dish,itz dish tv recharge,INR,10,,,,N,N,
Recharge Dish,dish tv recharge voucher,INR,10,0.91,,0,N,N,
Recharge Dish,dish tv recharge plans,INR,20,0.31,10.02,0,N,N,
Recharge Dish,dish tv recharge scheme,INR,10,,,,N,N,
Recharge Dish,dish tv recharge information,INR,10,,,,N,N,
Recharge Dish,dish tv.in recharge,INR,10,0.18,,0,N,N,
Recharge Dish,recharge dish,INR,10,0.18,,0,N,N,
Recharge Dish,how to dish tv recharge,INR,0,,,,N,N,
Recharge Dish,dish tv top up recharge,INR,10,,,,N,N,
Recharge Dish,just recharge dish tv,INR,10,,,,N,N,
Recharge Dish,dish tv recharge by debit card,INR,10,,,,N,N,
Recharge Dish,dish tv recharge coupon,INR,10,,,,N,N,
Recharge Dish,dish tv recharge.com,INR,10,1,3.72,0,N,N,
Recharge Dish,dish tv on line recharge,INR,10,,,,N,N,
Recharge Dish,dish tv recharge status,INR,10,0.36,,0,N,N,
Recharge Dish,all dish recharge,INR,10,,,,N,N,
Recharge Dish,dish tv.com recharge,INR,10,0.82,6.74,0,N,N,
Recharge Dish,recharge dish tv through debit card,INR,10,,,,N,N,
Dth,dth,INR,170,0.62,25.87,0,N,N,
Dth,dth recharge,INR,110,0.81,8.78,0,N,N,
Dth,dth services,INR,10,,,,N,N,
Dth,dth tv,INR,10,0.93,87.56,0,N,N,
Dth,recharge dth,INR,10,0.82,,0,N,N,
Dth,dth service,INR,10,0.69,3.62,0,N,N,
Dth,hd dth,INR,10,1,,0,N,N,
Dth,dishtv dth,INR,10,0.56,,0,N,N,
Dth,dth hd,INR,10,,,,N,N,
Dth,free dth service,INR,10,0.64,,0,N,N,
Dth,tv dth,INR,10,,,,N,N,
Dth,dth providers,INR,10,0.6,,0,N,N,
Dth,dth box,INR,10,,,,N,N,
Dth,dth service provider,INR,10,0.93,,0,N,N,
Dth,free channels on dth,INR,10,,,,N,N,
Tv Recharge,online tv recharge,INR,10,0.68,18.59,0,N,N,
Tv Recharge,tv recharge,INR,10,0.91,15.7,0,N,N,
Tv Recharge,tv recharge online,INR,10,,,,N,N,
Tv Recharge,recharge tv,INR,10,1,18.72,0,N,N,
Tv Recharge,dth tv recharge,INR,10,,,,N,N,
Tv Recharge,online recharge tv,INR,10,,,,N,N,
Dish,dish antenna,INR,10,0.79,,0,N,N,
Dish,dish,INR,50,0.14,14.98,0,N,N,
Dish,dish network,INR,30,0.38,42.13,0,N,N,
Dish,dish.com,INR,10,0.09,,0,N,N,
Dish,dishtv dish,INR,,,,,N,N,
Dish,dish network login,INR,10,,,,N,N,
Dish,dish internet,INR,10,0.55,,0,N,N,
Dish,dish network internet,INR,10,0.95,,0,N,N,
Online Recharge,recharge online,INR,480,0.8,21.04,0,N,N,
Online Recharge,recharge it online,INR,10,0,,0,N,N,
Online Recharge,online recharge prepaid,INR,10,1,22.36,0,N,N,
Online Recharge,online recharge now,INR,10,0.17,3.43,0,N,N,
Online Recharge,online recharge service,INR,10,,,,N,N,
Online Recharge,best online recharge,INR,10,,,,N,N,
Keywords like: Dishtv,dishtv,INR,720,0.22,18.67,0,N,N,
Keywords like: Dishtv,dishtv india,INR,10,0.08,,0,N,N,
Keywords like: Dishtv,www.dishtv.com,INR,90,0.86,8.88,0,N,N,
Keywords like: Dishtv,dishtv.com,INR,40,0.7,6.08,0,N,N,
Keywords like: Dishtv,www.dishtv.in,INR,390,0.84,8.54,0,N,N,
Keywords like: Dish Tv,dish tv,INR,2900,0.54,13.4,0,N,N,
Keywords like: Dish Tv,dishtv.in,INR,140,0.66,16.22,0,N,N,
Keywords like: Dish Tv,www.dishtv,INR,10,0.87,10.2,0,N,N,
Keywords like: Dish Tv,www.dishtv.in my account,INR,10,,,,N,N,
Keywords like: Dish Tv,tatasky,INR,1600,0.2,15.07,0,N,N,
Keywords like: Dish Tv,big tv,INR,320,0.18,30.36,0,N,N,
Keywords like: Dish Tv,dishtv login,INR,30,0.12,,0,N,N,
Keywords like: Dish Tv,big tv packages,INR,10,0.37,,0,N,N,
Keywords like: Dish Tv,reliance big tv,INR,210,0.39,20.98,0,N,N,
Keywords like: Dish Tv,dishtv hd,INR,10,0.48,,0,N,N,
Keywords like: Dish Tv,www.dishtv.co.in,INR,10,0.66,1.65,0,N,N,
Keywords like: Dish Tv,set up box,INR,10,1,,0,N,N,
Keywords like: Dish Tv,dishtv payment,INR,10,0.36,,0,N,N,
Keywords like: Dish Tv,tata,INR,590,0.22,20.77,0,N,N,
Keywords like: Dish Tv,dishtv tv,INR,,,,,N,N,
Keywords like: Dish Tv,indian online tv,INR,10,0.18,,0,N,N,
Keywords like: Dish Tv,www.dishtv.in.com,INR,10,0.91,,0,N,N,
Keywords like: Dish Tv,dishtv share price,INR,10,0.05,,0,N,N,
Keywords like: Dish Tv,dishtv.co.in,INR,10,0.54,13.71,0,N,N,
Keywords like: Dish Tv,www.dishtv.com.in,INR,10,,,,N,N,
Keywords like: Dish Tv,direct tv,INR,30,0.51,5.73,0,N,N,
Keywords like: Dish Tv,cable tv,INR,30,0.36,91.11,0,N,N,
Keywords like: Dish Tv,dishtv offers,INR,10,0.6,,0,N,N,
Keywords like: Dish Tv,directv,INR,10,0.02,,0,N,N,
Keywords like: Dish Tv,customercare dishtv.in,INR,10,0.48,6,0,N,N,
Keywords like: Dish Tv,dishtv.com login,INR,10,,,,N,N,
Keywords like: Dish Tv,customer care dishtv.in,INR,10,0.71,4.75,0,N,N,
Keywords like: Dish Tv,dishtv hd packs,INR,10,0,,0,N,N,
Keywords like: Dish Tv,online live tv on mobile,INR,10,0.33,,0,N,N,
Keywords like: Dish Tv,www.dishtv.in login,INR,10,0.47,1.56,0,N,N,
Keywords like: Dish Tv,dishnet,INR,10,,,,N,N,
Keywords like: Dish Tv,dishtv dishtv dishtv,INR,10,0.64,,0,N,N,
Keywords like: Dish Tv,dishtv price,INR,10,1,1.48,0,N,N,
Keywords like: Dish Tv,price of dishtv,INR,10,,,,N,N,
Keywords like: Dish Tv,dishtv.com india,INR,10,,,,N,N,
Keywords like: Dish Tv,www.dishtv.com india,INR,10,,,,N,N,
Keywords like: Dish Tv,dishtv offer,INR,10,,,,N,N,
Keywords like: Dish Tv,top up recharge,INR,10,0.63,69.32,0,N,N,
Keywords like: Dish Tv,customer care dishtv,INR,10,0.09,,0,N,N,
Keywords like: Dish Tv,online tv indian,INR,10,,,,N,N,
Keywords like: Dish Tv,www.dishtv.in customer care,INR,10,,,,N,N,
Keywords like: Dish Tv,videocon dishtv,INR,10,0.45,,0,N,N,
Keywords like: Dish Tv,directtv,INR,10,0.15,,0,N,N,
Keywords like: Dish Tv,www.dishtvonline recharge,INR,10,0.76,3.84,0,N,N,
Keywords like: Dish Tv,hd tv price,INR,10,1,2.92,0,N,N,
Keywords like: Dish Tv,low price tv,INR,10,1,,0,N,N,
Keywords like: Dish Tv,tv online live free,INR,10,0.23,3.73,0,N,N,
Keywords like: Dish Tv,on recharge,INR,10,0.64,,0,N,N,
